feature,origin,frequency,percentage,dynamic_generated_rows
overall_satisfaction,initial,92,92.0,0
product_quality,initial,55,55.0,0
sound_quality,initial,47,47.0,0
fit,initial,30,30.0,0
ease_of_use,initial,20,20.0,0
battery_life,initial,18,18.0,0
hardware_malfunction,initial,9,9.0,0
physical_discomfort,initial,8,8.0,0
noise_cancellation,dynamic,7,7.0,7
value_for_money,dynamic,6,6.0,6
microphone_quality,dynamic,5,5.0,5
connectivity,dynamic,3,3.0,3
accessory_compatibility,dynamic,2,2.0,2
ambient_mode_performance,dynamic,2,2.0,2
comfort,dynamic,2,2.0,2
controls,dynamic,2,2.0,2
noise_cancelling,dynamic,2,2.0,2
price_value,dynamic,2,2.0,2
product_comparison,dynamic,2,2.0,2
use_case,dynamic,2,2.0,2
accessory_quality,dynamic,1,1.0,1
accessory_redundancy,dynamic,1,1.0,1
ambient_mode,dynamic,1,1.0,1
app_compatibility,dynamic,1,1.0,1
audio_recording_quality,dynamic,1,1.0,1
authenticity_comparison,dynamic,1,1.0,1
automatic_power_management,dynamic,1,1.0,1
bass_response,dynamic,1,1.0,1
battery_life_comparison,dynamic,1,1.0,1
call_quality,dynamic,1,1.0,1
case_design,dynamic,1,1.0,1
charging_frequency,dynamic,1,1.0,1
charging_method_preference,dynamic,1,1.0,1
charging_options,dynamic,1,1.0,1
charging_speed,dynamic,1,1.0,1
cleanliness_condition,dynamic,1,1.0,1
compatibility,dynamic,1,1.0,1
connectivity_compatibility,dynamic,1,1.0,1
connectivity_stability,dynamic,1,1.0,1
controls_usability,dynamic,1,1.0,1
customer_satisfaction,dynamic,1,1.0,1
customizability,dynamic,1,1.0,1
design_changes,dynamic,1,1.0,1
design_similarity,dynamic,1,1.0,1
design_style,dynamic,1,1.0,1
discreetness,dynamic,1,1.0,1
durability_issues,dynamic,1,1.0,1
entertainment_value,dynamic,1,1.0,1
feature_expectation,dynamic,1,1.0,1
functionality_quality,dynamic,1,1.0,1
gaming_suitability,dynamic,1,1.0,1
improved_fit,dynamic,1,1.0,1
initial_defect,dynamic,1,1.0,1
intended_audience,dynamic,1,1.0,1
lifestyle_compatibility,dynamic,1,1.0,1
logistics_speed,dynamic,1,1.0,1
magnetic_attachment,dynamic,1,1.0,1
noise_cancellation_adjustability,dynamic,1,1.0,1
noise_cancellation_performance,dynamic,1,1.0,1
noise_cancelling_effectiveness,dynamic,1,1.0,1
noise_cancelling_performance,dynamic,1,1.0,1
noise_isolation,dynamic,1,1.0,1
noise_performance,dynamic,1,1.0,1
portability,dynamic,1,1.0,1
price,dynamic,1,1.0,1
price_affordability,dynamic,1,1.0,1
product_authenticity,dynamic,1,1.0,1
product_performance,dynamic,1,1.0,1
product_size,dynamic,1,1.0,1
promotion,dynamic,1,1.0,1
purchase_channel,dynamic,1,1.0,1
purchase_confidence,dynamic,1,1.0,1
purchase_quantity,dynamic,1,1.0,1
replacement_experience,dynamic,1,1.0,1
retailer_availability,dynamic,1,1.0,1
return_experience,dynamic,1,1.0,1
return_process,dynamic,1,1.0,1
safety_awareness,dynamic,1,1.0,1
situational_awareness,dynamic,1,1.0,1
size,dynamic,1,1.0,1
size_design,dynamic,1,1.0,1
sound_balance,dynamic,1,1.0,1
sound_comparison,dynamic,1,1.0,1
sound_upgrade_quality,dynamic,1,1.0,1
stability,dynamic,1,1.0,1
transparency_mode,dynamic,1,1.0,1
troubleshooting_experience,dynamic,1,1.0,1
upgrade_experience,dynamic,1,1.0,1
upgrade_motivation,dynamic,1,1.0,1
usage_duration,dynamic,1,1.0,1
usage_scenario,dynamic,1,1.0,1
user_happiness,dynamic,1,1.0,1
video_chat_performance,dynamic,1,1.0,1
voice_assistant_integration,dynamic,1,1.0,1
refund_request,initial,1,1.0,0
