feature,origin,relevant_count,positive_count,negative_count,neutral_count,avg_score_when_relevant,sum_score,sum_abs_score,percentage_relevant
general_satisfaction,initial,94,77,15,2,0.614,57.7,78.1,94.0
functionality,initial,68,47,18,3,0.479,32.6,54.2,68.0
sound_quality,initial,46,31,9,6,0.526,24.2,34.2,46.0
convenience,initial,44,31,9,4,0.461,20.3,34.3,44.0
comfort,initial,31,17,12,2,0.165,5.1,25.9,31.0
noise_cancellation,initial,25,17,5,3,0.528,13.2,20.0,25.0
daily_usage,initial,23,5,5,13,0.03,0.7,7.3,23.0
wireless_capability,initial,21,11,0,10,0.524,11.0,11.0,21.0
build_quality,initial,19,8,10,1,0.068,1.3,13.3,19.0
battery_life,initial,18,10,7,1,0.25,4.5,14.1,18.0
device_integration,initial,18,13,2,3,0.578,10.4,13.0,18.0
charging_ease,initial,9,5,3,1,0.333,3.0,6.6,9.0
connection_stability,initial,9,8,1,0,0.744,6.7,8.3,9.0
aesthetics,initial,8,1,1,6,0.0,0.0,1.0,8.0
replaceable_parts,initial,5,0,1,4,-0.16,-0.8,0.8,5.0
microphone_quality,dynamic,3,2,1,0,0.167,0.5,2.5,3.0
volume_limit,initial,3,1,1,1,0.167,0.5,1.5,3.0
ambient_mode,dynamic,2,1,1,0,0.1,0.2,1.4,2.0
alignment_ease,dynamic,1,1,0,0,1.0,1.0,1.0,1.0
app_integration,dynamic,1,0,1,0,-1.0,-1.0,1.0,1.0
authenticity,dynamic,1,0,0,1,0.0,0.0,0.0,1.0
auto_pause,dynamic,1,0,1,0,-1.0,-1.0,1.0,1.0
backward_compatibility,dynamic,1,0,1,0,-1.0,-1.0,1.0,1.0
charging_method,dynamic,1,1,0,0,1.0,1.0,1.0,1.0
control_intuitiveness,dynamic,1,0,1,0,-1.0,-1.0,1.0,1.0
control_scheme,dynamic,1,0,1,0,-1.0,-1.0,1.0,1.0
defect_resistance,dynamic,1,0,1,0,-1.0,-1.0,1.0,1.0
device_switching,dynamic,1,1,0,0,1.0,1.0,1.0,1.0
ergonomics,dynamic,1,0,1,0,-1.0,-1.0,1.0,1.0
feature_reliability,dynamic,1,0,1,0,-0.5,-0.5,0.5,1.0
find_device_feature,dynamic,1,0,1,0,-0.4,-0.4,0.4,1.0
fit_and_stability,dynamic,1,0,1,0,-0.8,-0.8,0.8,1.0
fit_during_activity,dynamic,1,0,1,0,-0.5,-0.5,0.5,1.0
fit_stability,dynamic,1,0,1,0,-1.0,-1.0,1.0,1.0
logistics,dynamic,1,0,0,1,0.0,0.0,0.0,1.0
noise_level,dynamic,1,0,1,0,-0.5,-0.5,0.5,1.0
price,dynamic,1,1,0,0,1.0,1.0,1.0,1.0
price_value,dynamic,1,1,0,0,0.5,0.5,0.5,1.0
upgrade_value,dynamic,1,0,1,0,-1.0,-1.0,1.0,1.0
voice_assistant_integration,dynamic,1,1,0,0,1.0,1.0,1.0,1.0
volume_output,dynamic,1,0,1,0,-0.5,-0.5,0.5,1.0
