review_id,rating,review_preview,speaker_reliability,return_policy_limitations,overall_satisfaction
0,4.0,These are so amazing I will proble buy another pair.,0.0,0.0,1.0
1,5.0,"The sound quality is amazing. I love the noise cancellation, and I also like tha",0.0,0.0,1.0
2,5.0,Good and works really well and stays in the ears well,0.0,0.0,1.0
3,4.0,I love the sound quality. The bass comes across very clear as if you’re in a roo,0.0,0.0,0.6
4,1.0,These Airpods were clearly used. I didn't pay for refurbished Airpods and even i,-1.0,0.0,-1.0
5,5.0,Great just hard to keep in my ear sometimes,0.0,0.0,0.5
6,5.0,My sister was staying with me for 6 hours. I got these to keep her entertained w,0.0,0.0,1.0
7,5.0,Perfect earbuds for granddaughter and her work!,0.0,0.0,1.0
8,5.0,i was against these forever. My daughter got them and used them sparingly. My wi,0.0,0.0,1.0
9,5.0,My granddaughter loves this,0.0,0.0,1.0
